owner_id,price,position,player_name,player_id
7,8,RB,Isaih Pacheco,9000033
12,12,QB,Daniel Jones,2562299
12,28,RB,Leonard Fournette,2557973
12,48,RB,Dalvin Cook,2557991
12,1,WR,DeVante Parker,2552409
12,7,WR,Brandon Aiyuk,2565093
12,1,WR,Russell Gage,2561061
12,35,QB,Dak Prescott,2555260
12,43,RB,Derrick Henry,2556075
12,11,RB,Josh Jacobs,2562377
12,9,QB,Ryan Tannehill,2532956
12,5,WR,Chris Godwin,2558105
13,61,QB,Josh Allen,2560955
13,28,RB,Nick Chubb,2561021
13,37,RB,Joe Mixon,2557976
13,41,WR,Cooper Kupp,2557898
13,7,WR,Robert Woods,2540169
13,1,WR,Christian Kirk,2560781
13,3,TE,T.J. Hockenson,2562378
13,13,QB,Baker Mayfield,2560800
13,9,RB,Rhamondre Stevenson,2566343
15,17,QB,Tua Tagovailoa,2564499
15,51,RB,Christian McCaffrey,2557997
15,20,RB,James Conner,2557978
15,22,WR,Tyreek Hill,2556214
15,23,WR,Mike Evans,2543468
15,10,WR,Brandin Cooks,2543498
15,5,TE,Zach Ertz,2540158
15,35,QB,Tom Brady,2504211
15,6,RB,Rashaad Penny,2560835
15,8,QB,Carson Wentz,2555259
15,1,RB,Mark Ingram,2495466
15,1,WR,Chase Claypool,2564970
15,1,WR,Jarvis Landry,2543488
9,60,QB,Patrick Mahomes,2558125
9,39,RB,Alvin Kamara,2558019
9,13,RB,J.K. Dobbins,2563548
9,19,WR,Tee Higgins,2563731
9,16,WR,Keenan Allen,2540154
9,9,WR,Michael Thomas,2556370
9,1,TE,Hunter Henry,2555341
9,18,QB,Jameis Winston,2552033
9,11,RB,Dameon Pierce,2567685
9,2,PK,Justin Tucker,2536340
9,5,QB,Deshaun Watson,2558063
9,1,RB,James Robinson,2564223
9,2,WR,DeVonta Smith,2566409
9,1,WR,Romeo Doubs,2567586
9,2,QB,Jacoby Brissett,2555261
9,1,WR,Julio Jones,2495454
8,62,QB,Justin Herbert,2565045
8,16,RB,Breece Hall,2568030
8,17,RB,Ezekiel Elliott,2555224
8,10,WR,Jerry Jeudy,2563896
8,8,WR,Marquise Brown,2562379
8,5,WR,Hunter Renfrow,2562712
8,8,TE,Dalton Schultz,2560866
8,55,QB,Lamar Jackson,2560757
8,4,RB,Damien Harris,2562281
8,1,RB,Tyler Allgeier,2567232
8,2,DEF,San Francisco Defense,100029
8,3,WR,Amari Cooper,2552487
8,1,RB,Alexander Mattison,2562682
8,1,RB,Devin Singletary,2562734
8,2,WR,Elijah Moore,2566385
8,1,RB,J.D. McKissic,2556440
8,1,RB,Khalil Herbert,2565926
