profile_id,picture_id
2532876,JEN124150
2508027,WIL415195
2539336,AUS659596
2495473,VER287449
2539335,SMI269700
2541196,TUE385627
2541151,SUD207644
2539214,THO445809
2540156,BER219765
2533545,PIE198196
2539228,MAN738705
2539341,BAL572158
2540171,RAN334748
2540178,DAV514200
2540168,LAC702361
2532926,PEA141066
2540175,BEL474300
2495150,FOR007550
497326,TAT245022
2533444,BUL521842
2495267,CAM107841
2495353,THO265401
2507374,HAU342462
2540165,HOP161500
1990,ROY461040
2495227,SCO227251
81294,HOY440791
2495744,SNE717004
2539637,STU678742
2495139,CLA715825
2539275,GLE711694
2539326,FRA476647
2540169,WOO561144
2532838,FLE075352
2506004,COT027891
2539217,ELL164917
2540154,ALL532966
2540273,STA100025
89802,SUC073828
2508115,BRO744480
222,DOU372712
2532799,BOY612580
2533533,RAN372502
497121,LEW733214
2532888,KEE690598
2505076,MCC600777
2540224,JAM394061
2540202,STI417540
2506895,CLE075538
2540160,REE302847
2539205,WIL532584
2539256,DOB744752
497258,QUA373212
497282,COO700168
2541768,WRI708932
2532884,JON601697
2495966,WAL115671
2495425,TOL825549
2495660,LEO380682
2534571,RAI596457
2539936,JOH186619
2542065,MCG491502
1966,CAR142530
2535708,DUN098604
2532841,FLO764240
2532853,GRE298482
2495472,TOD628353
2540145,PAT387075
2533037,POL125846
2539308,BAR192558
71309,GAN308500
2540158,ERT800920
2543498,COO299382
2543462,MAN794607
2540151,HUN711562
2543682,SAN746476
2543477,BOR650964
2543583,FRE174508
2543500,MAT569663
2539291,WHE120992
2543565,WIL142264
2543603,HIL407410
2543475,LEE466282
2543499,CAR358797
2543471,BEN150538
2542022,ROB601698
2543664,WES395447
2495443,MAL262949
2543468,EVA534309
2543743,HYD402541
2543457,WAT270480
2540148,EIF131143
2543465,BRI129168
2541556,MCM226186
2550380,PAR471800
2533046,ALL164177
2540174,LAT682317
2540203,TOI581408
2550353,HUR436342
2495211,PAU265785
2543600,BLU106654
2540258,KEL012458
2533349,DAV164136
2543715,MCK656764
2533040,SAN808447
2550189,CRO734794
2543847,BRO494712
2543704,TAL413914
2495189,KER321479
2537933,DON564065
2495748,STA482517
2532933,QUI043372
2543466,EBR474619
2550658,OLI200892
89798,SMI040756
497242,HAR007683
2543496,BEC573252
2495453,HOL497389
2543509,ROB365982
2550325,CAT093927
2543605,MET532718
2543770,SIM669037
497172,DIX077953
2543502,MAS269896
2540211,ESC568293
2539260,ROB399206
2543495,ADA218591
2543572,BRY499889
2533030,GRA699244
2540269,AND163330
2540020,RID187949
2543683,SEF177981
2532864,HER657540
2541161,MUR671046
2541147,JOH105729
2543488,LAN163029
2539315,TAY700784
2539980,WIL407286
2541544,CUN106619
2539322,MIC066214
2553117,HAY563587
2495240,TAY764868
2552487,COO487703
2552374,ABD647726
2552453,COL359050
2552461,JOH000009
2552597,PER440170
2552469,GOR275321
2552458,FUN405541
2552409,PAR226609
2550313,ROD493098
2552471,YEL060186
2552466,MAR186347
2552033,WIN623708
2506063,SCO003459
2543801,GAR363225
2552475,GUR000000
2552600,AGH474619
2553435,JOH174477
2543614,MON117004
2540928,FEL484741
2550328,COL222062
2552380,WIL398250
2495469,LEW218646
2540037,WHI731103
2532790,BEN162218
2552635,JON603219
2553733,RAW440791
2550474,AND650999
1060,BAR521746
2532903,MAT576281
2495158,HAN169573
2553833,LAM580646
2507166,GIN403290
2552429,MON677133
2550636,SAN796299
2552631,ALL469092
2552376,COB141451
2550256,SNE115447
2550268,WES136836
2540177,WIL750668
2539227,HOP165345
2506122,WAT311042
2539287,JON565403
2550551,COO469595
2552608,DIG218895
2530660,AIK246111
2552379,LAN550009
2543773,WHI242257
2495461,DRA542186
2533436,OSW479182
2552582,AJA771256
2543794,GIL677592
2553112,MYE407253
2540204,WAR371408
2540215,MCD589658
2543497,MCC176481
2550545,BOS743355
2552375,ART387205
238457,MIL625333
2556075,HEN602843
2552430,LOC420915
2543491,RIC593564
2555408,AGU080357
2555224,ELL289284
2555346,FUL503598
2555295,SHE495754
2553457,SIE461866
2555259,WEN615770
2555464,WAS000000
2555260,PRE285723
2555223,BOO019902
2555214,TRE425415
2553913,WIL547641
2552633,JAM239797
2556885,RIC215247
2555334,GOF219636
2555317,SHA495155
2555230,DRA280410
2556118,WAS231679
2556411,FER201072
2552397,WAL062390
2556477,BOY620791
2555418,HOW239418
2550481,DAR352254
2540232,DOY403968
2555387,KES701662
2555316,LYN526034
2555229,DIX440855
2555341,HEN617052
2555461,SMA757345
2506546,AND180512
2555333,COL232728
2543828,ENU444955
2535698,BEA434808
2553568,MER114236
2556370,THO308912
2556563,JAC134613
2553631,ZEN513046
2543721,FIE077391
2539663,GIL667064
2543750,JAN413854
2556414,KEL338220
2540011,THO499404
2556466,BAR077733
2552415,CRO697273
2553439,DAV567050
2555417,PRO494028
2552656,NEL488051
2556601,LUT811045
2530690,HAR370058
2555415,HOO570770
2555460,PER227681
2550542,BIB097874
2552369,PET742461
2550512,WIL206455
2556214,HIL628694
2553737,ROG291905
2555466,BOY378353
2550617,GAB627060
2550656,BRA663798
2555216,MIT502824
2556801,FAR789227
2558008,TRU215336
2558063,WAT338355
2541785,THI510348
2557917,HUN308934
2557848,DAV247957
2557983,KIZ080286
2557994,FOR392618
2555343,DOC662393
2557863,JON403726
2557991,COO047079
2558918,BRE256819
2557997,MCC035988
2557976,MIX564388
2557973,FOU564970
2553432,WHI315610
2556771,ROS046718
2558138,PER095343
2558266,KIT388290
2558204,WIL328269
2530515,HOG008552
2558865,CAR568144
2557978,CON461999
2558250,COH427642
2535686,TAV164481
2558123,MAC338783
2558052,GOL573546
2557898,KUP534597
2558019,KAM244058
2555261,BRI516391
2532887,KEA511674
2555430,COL479374
2558846,WIL000009
2558172,ELL296383
2558116,JON026624
2557952,GAL649066
2557858,ENG726325
2558245,BUT061642
2555473,LOU665833
2557986,NJO355964
2555263,HOG022742
2557934,MCG791501
2552588,HUN005842
2557922,BEA000000
2553895,HUM721507
2555478,ROB399065
2557856,HOW308864
2543759,GRA498062
2543640,SAV166116
2558149,SMI829709
2552586,KRO074538
2543533,MUR681154
2556521,FAI144264
2553743,SMI664332
2552382,BRO550137
2556462,AND460305
2557895,WES551470
2559169,EKE189430
2558191,PET071806
2539265,BUR268979
2539964,GOO681722
2559150,CLE186218
2556440,MCK692580
2552576,MAN548238
2559248,SEA449742
2550284,BUR817654
2556450,ROS276548
2559153,COL130738
2560933,WIL088337
2560765,JOH399188
2560733,FRE376456
2558105,GOD549393
2560813,MOO272423
2560854,RID652384
2560890,TAT130154
2560809,MIC517884
2560968,BAR192674
2561036,DAR466141
2560835,PEN504753
2558125,MAH401939
2561224,KIR706709
2560800,MAY483453
2556460,ALL713965
2559947,LIN303086
2561046,DIS743152
2558010,ROS616450
2560858,ROS357433
2560836,PET735981
2560955,ALL529264
2560742,HIN226970
2561029,COU751041
2552559,UZO415291
2559924,SMI342780
2561021,CHU033942
2540243,MAH294385
2539289,BAR236353
2552647,MUR517528
2560888,SUT333526
2560738,HER373492
2558856,MOO249444
2558979,MUL486612
2560757,JAC323395
2560907,VAL142116
2556404,HAR485163
2560949,ADA444540
2552399,HEU190731
2541185,GRI294351
2560957,AND701433
2561324,EDW471180
2558194,REY398905
2560878,SMI764556
81284,DAN230354
2560756,JAC283219
2553667,LAC529668
2560862,SAM713301
2555262,DRI392790
2560938,WIL723340
2560711,EDM181116
2560894,THO197015
2558066,SAM633285
2560967,BAL608677
2495838,GRA068015
735,BES106788
2506096,WIL511864
497270,BEN192067
2500467,DRI611685
2505938,COO376642
2495220,ROY668900
2508112,HOU358294
2541834,HIL451418
2552424,DOR488199
2552470,COA667430
2552491,GRE398545
2557936,WIL386826
2561000,GUI074673
2560770,JON705925
100001,"ATL"
100002,"BAL"
100003,"BUF"
100004,"CAR"
100005,"CHI"
100006,"CIN"
100007,"CLE"
100008,"DAL"
100009,"DEN"
100010,"DET"
100011,"GB"
100012,"TEN"
100013,"HOU"
100014,"IND"
100015,"JAC"
100016,"KC"
100017,"STL"
100018,"OAK"
100019,"MIA"
100020,"MIN"
100021,"NE"
100022,"NO"
100023,"NYG"
100024,"NYJ"
100025,"PHI"
100026,"AZ"
100027,"PIT"
100028,"LAC"
100029,"SF"
100030,"SEA"
100031,"TB"
100032,"WAS"
